customer_id,signup_date,age,gender,country,plan,monthly_charge,acquisition_channel,device,n_support_tickets,legacy_score,promo_code,churn_30d
1,2024-02-08,34.0,F,DE,standard,16.62,organic,android,1,42.3,PROMO_2,0
2,2021-07-08,42.0,F,US,standard,21.31,partner,web,0,48.1,PROMO_1,0
3,2021-12-20,51.0,F,AE,basic,9.73,organic,web,0,36.2,PROMO_2,0
4,2022-10-14,36.0,M,UK,standard,19.53,social,ios,4,36.2,PROMO_3,0
5,2022-10-22,35.0,Other,US,basic,9.12,partner,android,2,59.3,PROMO_1,0
6,2021-03-14,30.0,M,PK,standard,21.1,paid_search,android,1,57.5,PROMO_1,0
7,2024-02-13,18.0,F,AE,standard,20.84,social,android,5,77.6,PROMO_1,0
8,2021-10-22,,M,UK,basic,9.83,organic,android,1,50.4,PROMO_1,1
9,2023-09-06,29.0,F,PK,basic,9.33,social,android,0,52.3,PROMO_1,1
10,2024-02-02,25.0,M,PK,standard,18.47,partner,android,1,49.4,PROMO_2,0
11,2022-06-15,42.0,F,PK,basic,9.55,partner,ios,2,35.4,PROMO_1,0
12,2020-10-03,21.0,M,UK,premium,41.55,paid_search,ios,3,58.8,PROMO_3,0
13,2021-08-30,46.0,M,PK,standard,18.71,referral,android,1,47.5,PROMO_1,0
14,2021-07-26,42.0,M,CA,standard,18.47,referral,web,2,28.5,PROMO_1,0
15,2021-09-24,33.0,F,IN,basic,9.82,paid_search,android,0,66.6,PROMO_1,0
16,2021-06-22,36.0,M,SE,standard,21.53,referral,android,0,41.4,PROMO_1,0
17,2022-07-03,24.0,M,PK,premium,36.66,organic,,1,55.0,PROMO_2,0
18,2023-12-17,45.0,F,US,basic,8.81,partner,ios,2,55.5,PROMO_8,0
19,2021-04-09,39.0,M,IN,basic,9.25,referral,android,2,53.2,PROMO_1,0
20,2022-09-28,40.0,M,AE,basic,9.35,paid_search,ios,2,34.9,PROMO_6,0
21,2022-07-21,43.0,M,PK,basic,8.62,paid_search,,0,70.9,PROMO_1,1
22,2023-01-16,30.0,M,CA,standard,21.86,partner,android,1,39.1,PROMO_3,0
23,2023-10-03,20.0,F,UK,basic,9.3,organic,ios,0,13.2,PROMO_1,1
24,2020-12-10,48.0,M,DE,standard,19.81,paid_search,android,2,62.7,PROMO_2,0
25,2021-06-28,45.0,F,SE,basic,10.27,paid_search,web,1,62.2,PROMO_1,1
26,2022-01-04,31.0,F,NZ,basic,8.68,paid_search,ios,3,32.1,PROMO_1,1
27,2022-12-03,42.0,M,UK,basic,8.94,organic,android,3,49.9,PROMO_5,0
28,2021-05-02,51.0,M,PK,premium,35.09,organic,ios,0,66.2,PROMO_39,0
29,2022-05-20,50.0,M,AE,standard,18.74,partner,ios,1,71.2,PROMO_3,0
30,2022-10-08,31.0,M,AE,basic,7.93,referral,android,1,59.2,PROMO_1,0
31,2022-09-28,21.0,F,UK,standard,20.14,referral,web,2,62.4,PROMO_1,0
32,2023-08-02,23.0,M,US,basic,9.3,paid_search,ios,1,60.8,PROMO_1,1
33,2024-02-04,34.0,F,UK,basic,8.8,social,android,1,47.9,PROMO_1,0
34,2022-05-07,53.0,Other,UK,basic,8.93,paid_search,ios,4,33.7,PROMO_150,0
35,2021-02-01,29.0,M,IN,premium,41.38,social,web,1,46.1,PROMO_150,0
36,2024-03-14,30.0,M,CA,standard,17.27,referral,android,2,66.9,PROMO_2,0
37,2021-03-14,30.0,M,US,standard,19.31,organic,android,2,66.7,PROMO_1,0
38,2021-04-25,31.0,M,UK,basic,9.5,partner,ios,1,53.1,PROMO_1,0
39,2023-05-26,37.0,M,UK,basic,7.72,partner,ios,1,45.0,PROMO_5,0
40,2022-01-21,23.0,M,UK,standard,20.04,paid_search,android,1,76.0,PROMO_1,0
41,2023-10-26,49.0,F,PK,basic,7.79,partner,web,0,51.9,PROMO_150,0
