model,experiment,group,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,delta_pr_auc,delta_ci95_low,delta_ci95_high,folds_better_than_ref,delta_roc_auc
logreg,baseline,-,0.15644158932023605,0.022213197461322453,0.6012246058517745,0.04283220243551377,0.0,0.0,0.0,0.0,0.0,0.0
logreg,full,all groups,0.43935900100117653,0.03975192793307416,0.7953419066747197,0.02865864901323899,0.3421666445460734,0.2829174116809406,0.260398315813391,0.30543650754849017,1.0,0.19411730082294523
logreg,add_one,datetime,0.1506196721793736,0.01675720606223807,0.5994256059911903,0.04042224692647935,0.0,-0.005821917140862443,-0.011228893922006065,-0.00041494035971882063,0.2,-0.0017989998605842494
logreg,drop_one,datetime,0.44508577608616584,0.03952747822859942,0.7982865214418239,0.02927236209418755,0.3420193443674338,0.005726775084989272,0.0015794762129409286,0.009874073957037615,0.9,0.002944614767104126
logreg,add_one,aggregate,0.4402369137378911,0.04276994488438358,0.793191175743452,0.03071233201497905,0.32633561573764586,0.2837953244176551,0.2606942272472951,0.3068964215880151,1.0,0.1919665698916775
logreg,drop_one,aggregate,0.4357426571978603,0.040313780801217135,0.7944180955766973,0.027460407689796212,0.30987731297364773,-0.003616343803316202,-0.009676267925595432,0.0024435803189630295,0.4,-0.0009238110980225644
logreg,add_one,ratio,0.2294109065381798,0.04074498032085776,0.7016477835368807,0.03505749076057506,0.022866844510397367,0.07296931721794372,0.05352791939530719,0.09241071504058027,1.0,0.10042317768510615
logreg,drop_one,ratio,0.44084887918873417,0.04206125195890747,0.7961751161051557,0.02853209484419848,0.3483107917740904,0.001489878187557625,-0.0014340456067471698,0.00441380198186242,0.4,0.0008332094304358773
logreg,add_one,interaction,0.41966206505385734,0.04136569218858886,0.7755850992022963,0.028167891890667585,0.292540131603983,0.2632204757336213,0.23921346932959667,0.28722748213764593,1.0,0.17436049335052187
logreg,drop_one,interaction,0.4344673393540669,0.04221826084415494,0.7920038793264016,0.03046373469680505,0.3237277055885188,-0.0048916616471097185,-0.011397046292087442,0.001613722997868005,0.3,-0.0033380273483181733
logreg,add_one,categorical,0.3054396628122265,0.043338798861229,0.7577432867075813,0.030438467846280806,0.05247001240300482,0.14899807349199048,0.12732369201046737,0.1706724549735136,1.0,0.15651868085580678
logreg,drop_one,categorical,0.4375966563643816,0.038975139708262364,0.7941085510344132,0.02839708595908345,0.3282526809010612,-0.0017623446367949658,-0.004758104993868622,0.00123341572027869,0.4,-0.001233355640306455
logreg,add_on_aggregate,datetime,0.4374274888671434,0.044510242865643306,0.7934399180308572,0.030714283565095042,0.32262430937408854,-0.0028094248707477344,-0.0069515208255510625,0.0013326710840555933,0.3,0.00024874228740520146
logreg,add_on_aggregate,ratio,0.43815516824500833,0.0419859646692972,0.7926103342191213,0.03031897087209719,0.3189173055018289,-0.002081745492882775,-0.00820984016070219,0.004046349174936641,0.4,-0.0005808415243306775
logreg,add_on_aggregate,interaction,0.44583585517458674,0.03982729536491048,0.7984150996892682,0.02998969761331388,0.3223326952310662,0.005598941436695615,4.343202025354487e-05,0.011154450853137685,0.6,0.0052239239458162
logreg,add_on_aggregate,categorical,0.44077540481587496,0.04134384378238309,0.7928462160740487,0.030255595071647993,0.335953525336433,0.0005384910779838048,-0.0025993230271996086,0.0036763051831672187,0.6,-0.000344959669403333
hgb,baseline,-,0.14628829807444468,0.015271326786301945,0.5814999468067162,0.0251467469449993,0.001941747572815534,0.0,0.0,0.0,0.0,0.0
hgb,full,all groups,0.4059370708572194,0.034255096850863906,0.7756374411665641,0.02384255191877643,0.3179480883754335,0.25964877278277476,0.2359650077109295,0.28333253785462004,1.0,0.19413749435984795
hgb,add_one,datetime,0.14180465907600914,0.01919081377188613,0.5697089792576411,0.02358344020021765,0.0019230769230769232,-0.004483638998435527,-0.012367413527047028,0.0034001355301759746,0.2,-0.01179096754907506
hgb,drop_one,datetime,0.40675248865797664,0.03698703576987721,0.7794628760043605,0.025665956346785545,0.3181900580411539,0.00081541780075719,-0.005825820665441083,0.007456656266955464,0.6,0.0038254348377963375
hgb,add_one,aggregate,0.4023406476108399,0.036996039136733314,0.7749240936082715,0.02443824879802724,0.3278848774068936,0.25605234953639516,0.22938608016688888,0.28271861890590144,1.0,0.19342414680155534
hgb,drop_one,aggregate,0.3934106520588215,0.02502840845486298,0.7632680804255816,0.02311655669818851,0.30543515187346365,-0.012526418798397965,-0.023819616659270564,-0.0012332209375253648,0.2,-0.012369360740982483
hgb,add_one,ratio,0.1963825149502944,0.02276494765690125,0.6702170982878765,0.02408804549027005,0.04716207675602433,0.050094216875849765,0.03296098246394348,0.06722745128775605,1.0,0.08871715148116034
hgb,drop_one,ratio,0.40270488664102294,0.033683718454199034,0.7716404486834304,0.024747537144664874,0.31847880480611857,-0.0032321842161964986,-0.00917908818356008,0.002714719751167083,0.5,-0.003996992483133654
hgb,add_one,interaction,0.3814516835912613,0.03393553439261887,0.7482466155080049,0.030935402827002467,0.317701620498249,0.23516338551681662,0.21250381239602495,0.2578229586376083,1.0,0.16674666870128874
hgb,drop_one,interaction,0.40393425820359175,0.04073849328161981,0.7759709622108709,0.02458579320174562,0.32858792038600604,-0.0020028126536276946,-0.009083504432921783,0.005077879125666394,0.3,0.00033352104430675047
