scope,segment,n,positives,prevalence
train,-,4800,506,0.10541666666666667
hold-out,-,1200,127,0.10583333333333333
cv_fold,fold 0,960,101,0.10520833333333333
cv_fold,fold 1,960,101,0.10520833333333333
cv_fold,fold 2,960,101,0.10520833333333333
cv_fold,fold 3,960,101,0.10520833333333333
cv_fold,fold 4,960,102,0.10625
segment:tenure_bucket,long (365d+),3580,361,0.10083798882681565
segment:tenure_bucket,mid (90-365d),992,115,0.1159274193548387
segment:tenure_bucket,new (<90d),228,30,0.13157894736842105
segment:plan,basic,2397,311,0.12974551522736755
segment:plan,premium,690,66,0.09565217391304348
segment:plan,standard,1713,129,0.07530647985989491
segment:country,AE,505,58,0.11485148514851486
segment:country,CA,318,25,0.07861635220125786
segment:country,DE,391,29,0.0741687979539642
segment:country,IN,466,47,0.10085836909871244
segment:country,NZ,89,11,0.12359550561797752
segment:country,PK,1452,177,0.12190082644628099
segment:country,SE,158,22,0.13924050632911392
segment:country,UK,479,47,0.09812108559498957
segment:country,US,942,90,0.09554140127388536
segment:acquisition_channel,organic,1457,137,0.09402882635552505
segment:acquisition_channel,paid_search,1175,162,0.13787234042553193
segment:acquisition_channel,partner,497,34,0.06841046277665996
segment:acquisition_channel,referral,705,69,0.09787234042553192
segment:acquisition_channel,social,966,104,0.10766045548654245
segment:device,android,2038,218,0.1069676153091266
segment:device,ios,1610,175,0.10869565217391304
segment:device,missing,233,17,0.07296137339055794
segment:device,web,919,96,0.1044613710554951
