model,strategy,pr_auc_mean,roc_auc_mean,f1_mean,recall_mean,precision_mean,balanced_acc_mean,pr_auc_fold_std,pr_auc_seed_std,pr_auc_min_fold,pr_auc_max_fold,roc_auc_fold_std,f1_fold_std
logreg,none,0.4396355420397629,0.797646349065222,0.3358903988192781,0.22597553873034368,0.664776012707229,0.6060015464301712,0.0460547532255973,0.006433841813127555,0.3523829222294705,0.5112493502027259,0.02442216838784432,0.029997699516732604
logreg,class_weight,0.4307295848139075,0.7929314569880426,0.37973886146749397,0.6877499514657347,0.26248533031213556,0.7296474492818251,0.04789313194488267,0.0034093557453017337,0.3475497510409907,0.506157939345439,0.02552113325946751,0.024628424685082723
logreg,oversample,0.42926966040462744,0.7905353749027874,0.37260369187013276,0.6778877887788777,0.25707895852315776,0.7232025732348465,0.04632164323924459,0.0025057545076871196,0.34497140732065906,0.49451138404324213,0.02567070330353492,0.023696236565581466
logreg,undersample,0.41139366293592167,0.782636333251967,0.3519786473160897,0.6877887788778877,0.2367463457595381,0.7128209162816525,0.048354087965114326,0.010404457716583885,0.3407366199587311,0.4836048268805865,0.02730299304071004,0.022285085289419332
logreg,smote,0.42116342938095336,0.788289982800537,0.36548976457449406,0.6679867986798679,0.2517170793263696,0.7168536576949537,0.054001776184329976,0.00733286360247677,0.33665162576190677,0.5085306317149446,0.02769693250753474,0.02064723706691798
hgb,none,0.4100564046683358,0.776512091594609,0.3386861580627126,0.23192260402510845,0.6401469737260289,0.6080048231014769,0.05317106431917855,0.004691763235237967,0.2765321848963336,0.47632912808817107,0.028752289527407944,0.03937214053681515
hgb,class_weight,0.40622676488321896,0.7689090825109599,0.39543540683727996,0.4993593476994758,0.3283446745061705,0.6889376154941755,0.05853590817827647,0.003955617320357487,0.2684078403851736,0.4702912757195367,0.02878137969751098,0.03862587737622667
hgb,oversample,0.40465437107903207,0.7613573258550929,0.39584119822820285,0.48420371448909605,0.3356400753348916,0.6854346659440621,0.05264545433571998,0.006239118545321994,0.2884237302227792,0.46659642873692203,0.035372396858137846,0.03550523343866933
hgb,undersample,0.37233255836796963,0.7592293705163162,0.3312386617599623,0.6593994693587005,0.2214126822052934,0.6929585428741305,0.048750629481150345,0.011195988321033638,0.28045434533048363,0.42801007056592116,0.025018906596591277,0.019060379207995033
hgb,smote,0.41759487649976373,0.7784206079044791,0.36334552183255564,0.26484177829547656,0.5880168434494054,0.6212040371858338,0.051015136785288066,0.005707292747096659,0.297912099850777,0.4822625634627209,0.028745614741309666,0.04444894622588281
